iter	Passed	Remaining
0	425	212343
1	873	217543
2	1275	211277
3	1729	214513
4	2052	203149
5	2426	199813
6	2785	196169
7	3131	192594
8	3421	186651
9	3703	181464
10	3968	176420
11	4247	172728
12	4614	172877
13	4892	169823
14	5191	167866
15	5474	165615
16	5777	164157
17	6118	163848
18	6410	162293
19	6713	161114
20	7005	159782
21	7297	158552
22	7602	157667
23	8116	160982
24	8570	162834
25	8940	162984
26	9291	162769
27	9638	162477
28	10062	163432
29	10471	164056
30	10896	164860
31	11283	165019
32	11725	165933
33	12169	166788
34	12563	166918
35	12939	166778
36	13519	169171
37	13930	169360
38	14432	170604
39	14842	170693
40	15267	170920
41	15672	170904
42	16086	170970
43	16525	171267
44	16969	171576
45	17417	171900
46	17853	172077
47	18289	172224
48	18727	172369
49	19167	172507
50	19602	172578
51	20030	172566
52	20425	172264
53	20880	172455
54	21452	173572
55	21942	173970
56	22424	174278
57	22855	174177
58	23278	173994
59	23726	173992
60	24200	174163
61	24660	174216
62	25111	174189
63	25568	174186
64	26071	174475
65	26514	174350
66	27031	174698
67	27536	174935
68	27953	174609
69	28431	174653
70	28831	174210
71	29240	173818
72	29696	173705
73	30149	173563
74	30526	172982
75	30996	172926
76	31344	172192
77	31706	171542
78	32066	170885
79	32456	170398
80	32804	169694
81	33285	169673
82	33596	168791
83	33972	168246
84	34345	167687
85	34720	167142
86	35091	166585
87	35431	165883
88	35850	165557
89	36351	165601
90	36801	165402
91	37304	165436
92	37677	164888
93	38012	164182
94	38378	163615
95	38753	163086
96	39096	162432
97	39443	161799
98	39800	161210
99	40108	160434
100	40431	159725
101	40792	159170
102	41128	158523
103	41466	157889
104	41804	157264
105	42143	156648
106	42479	156023
107	42825	155441
108	43186	154916
109	43501	154234
110	43867	153733
111	44225	153208
112	44571	152646
113	44922	152105
114	45332	151766
115	45777	151537
116	46158	151098
117	46479	150468
118	46808	149867
119	47154	149322
120	47563	148979
121	47911	148446
122	48212	147774
123	48557	147238
124	48880	146642
125	49186	145998
126	49547	145521
127	49662	144332
128	50014	143839
129	50365	143348
130	50692	142790
131	51046	142311
132	51397	141826
133	51776	141420
134	52158	141022
135	52525	140583
136	52875	140101
137	53273	139747
138	53606	139222
139	53944	138714
140	54277	138196
141	54761	138060
142	55205	137820
143	55614	137492
144	56044	137211
145	56503	137002
146	57105	137130
147	57565	136911
148	58024	136689
149	58437	136353
150	58768	135829
151	59355	135891
152	59782	135584
153	60226	135314
154	60622	134934
155	60994	134500
156	61249	133813
157	61624	133388
158	62307	133628
159	63094	134076
160	63898	134544
161	64556	134691
162	65200	134800
163	65861	134936
164	66706	135433
165	67475	135763
166	68213	136018
167	68754	135871
168	69329	135787
169	69917	135723
170	70658	135944
171	71295	135959
172	71975	136045
173	72529	135888
174	73036	135640
175	73553	135405
176	74055	135140
177	74457	134691
178	74970	134444
179	75481	134189
180	75955	133866
181	76414	133515
182	76826	133082
183	77210	132600
184	77640	132198
185	78120	131881
186	78596	131555
187	79034	131163
188	79464	130758
189	79873	130319
190	80292	129897
191	80720	129489
192	81143	129072
193	81515	128576
194	81917	128127
195	82239	127555
196	82679	127167
197	83094	126740
198	83421	126180
199	83874	125811
200	84273	125361
201	84675	124916
202	84961	124302
203	85450	123987
204	85850	123541
205	86289	123151
206	86678	122689
207	87035	122184
208	87411	121706
209	87806	121256
210	88238	120857
211	88788	120618
212	89182	120165
213	89473	119577
214	89779	119010
215	90147	118526
216	90470	117986
217	90833	117499
218	91178	116991
219	91509	116466
220	91860	115968
221	92185	115439
222	92531	114938
223	92852	114407
224	93195	113905
225	93471	113324
226	93803	112812
227	94023	112168
228	94354	111659
229	94725	111199
230	95056	110693
231	95415	110220
232	95742	109713
233	96067	109205
234	96406	108713
235	96761	108242
236	97116	107770
237	97488	107319
238	97831	106837
239	98184	106366
240	98547	105907
241	98891	105429
242	99189	104904
243	99539	104435
244	99842	103917
245	99982	103233
246	100309	102746
247	100663	102286
248	101061	101872
249	101436	101436
250	101826	101014
251	102278	100654
252	102668	100233
253	102983	99740
254	103415	99359
255	103768	98903
256	104163	98489
257	104583	98098
258	104924	97632
259	105272	97174
260	105623	96719
261	105963	96257
262	106288	95781
263	106635	95325
264	106971	94861
265	107334	94421
266	107654	93945
267	107968	93465
268	108321	93019
269	108655	92558
270	109001	92107
271	109331	91645
272	109633	91160
273	109987	90719
274	110321	90263
275	110625	89782
276	110993	89355
277	111318	88894
278	111653	88442
279	111953	87963
280	112298	87520
281	112619	87060
282	112971	86624
283	113299	86171
284	113640	85729
285	113946	85260
286	114313	84838
287	114654	84398
288	115001	83963
289	115369	83543
290	115701	83098
291	116055	82669
292	116406	82239
293	116749	81804
294	117104	81378
295	117440	80938
296	117777	80501
297	118126	80072
298	118510	79667
299	118858	79239
300	119217	78818
301	119554	78383
302	119873	77937
303	120217	77508
304	120560	77079
305	120853	76619
306	121167	76173
307	121535	75762
308	121882	75338
309	122239	74920
310	122613	74514
311	122969	74097
312	123298	73664
313	123650	73245
314	124079	72872
315	124492	72489
316	124816	72054
317	125161	71633
318	125493	71204
319	125811	70768
320	126178	70361
321	126512	69935
322	126837	69505
323	127177	69084
324	127522	68666
325	127882	68256
326	128232	67841
327	128561	67416
328	128881	66986
329	129201	66558
330	129562	66151
331	129906	65735
332	130274	65332
333	130613	64915
334	130972	64508
335	131319	64096
336	131667	63684
337	132039	63285
338	132392	62876
339	132730	62461
340	133034	62030
341	133364	61612
342	133701	61198
343	134058	60793
344	134391	60378
345	134706	59956
346	135053	59547
347	135369	59126
348	135702	58713
349	136072	58316
350	136414	57907
351	136749	57497
352	137083	57085
353	137436	56682
354	137762	56269
355	138102	55861
356	138416	55444
357	138754	55036
358	139122	54641
359	139460	54234
360	139827	53839
361	140199	53446
362	140576	53054
363	140943	52660
364	141281	52254
365	141627	51852
366	141944	51440
367	142288	51038
368	142625	50633
369	142978	50235
370	143298	49826
371	143638	49424
